case,station,model,mode,completed,epochs,exit_code,wall_seconds,ar_attempt_epochs,wl_passed_epochs,l1_passed_epochs,newly_fixed_total,held_integer_rank_peak,newly_fixed_epochs,rms_3d_m,final_enu_m,effective_search,general_rows_total,named_recovered_total,reference_difference_m,errors,alarms,trace,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows
r48u_20260914_DYNG_IF_float,DYNG,IF,float,True,55,0,11.297161408001557,0,0,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_float/Network-r48u_20260914_DYNG_IF_float-202419900.TRACE,0,0,0
r48u_20260914_DYNG_IF_round_shadow,DYNG,IF,round_shadow,True,55,0,11.382059623021632,27,17,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_round_shadow/Network-r48u_20260914_DYNG_IF_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_DYNG_IF_round_feedback,DYNG,IF,round_feedback,True,55,0,11.474647402996197,27,17,0,0,0,0,0.8144683858467285,"[0.138028, 0.242021, 0.45892]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_round_feedback/Network-r48u_20260914_DYNG_IF_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_DYNG_IF_ils_shadow,DYNG,IF,ils_shadow,False,15,-11,10.329259083024226,0,0,0,0,0,0,1.1213055356133061,"[0.498471, 0.800192, 0.217208]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_ils_shadow/Network-r48u_20260914_DYNG_IF_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_DYNG_IF_ils_feedback,DYNG,IF,ils_feedback,False,15,-11,10.220669992035255,0,0,0,0,0,0,1.1213055356133061,"[0.498471, 0.800192, 0.217208]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_IF_ils_feedback/Network-r48u_20260914_DYNG_IF_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_NICO_IF_float,NICO,IF,float,True,55,0,11.302886709105223,0,0,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_float/Network-r48u_20260914_NICO_IF_float-202419900.TRACE,0,0,0
r48u_20260914_NICO_IF_round_shadow,NICO,IF,round_shadow,True,55,0,11.499514815979637,27,15,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_round_shadow/Network-r48u_20260914_NICO_IF_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_NICO_IF_round_feedback,NICO,IF,round_feedback,True,55,0,11.154213652014732,27,15,0,0,0,0,1.445754852131972,"[0.297246, -0.0548781, -0.18726]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_round_feedback/Network-r48u_20260914_NICO_IF_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_NICO_IF_ils_shadow,NICO,IF,ils_shadow,False,15,-11,9.593431652989239,0,0,0,0,0,0,2.6151110809007823,"[0.508877, 0.137773, -0.712787]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_ils_shadow/Network-r48u_20260914_NICO_IF_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_NICO_IF_ils_feedback,NICO,IF,ils_feedback,False,15,-11,9.72783974406775,0,0,0,0,0,0,2.6151110809007823,"[0.508877, 0.137773, -0.712787]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_IF_ils_feedback/Network-r48u_20260914_NICO_IF_ils_feedback-202419900.TRACE,0,0,0
