case,station,model,mode,time,label,requested_rank,stochastic_rank,minimum_fix_count,bootstrap_eligible_rank,bootstrap_best_1d,bootstrap_full,effective_sucthr,actual_ar_mode,ratio_test_executed,local_nis_test_executed,local_nis_alpha,whole_nis_alpha,search_exit_reason
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:10:30,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:00,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:17:30,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:00,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:18:30,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:00,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:19:30,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:00,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,USER_IF_WL_SD,6,6,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:20:30,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:00,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,USER_IF_WL_SD,6,6,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:21:30,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,USER_IF_WL_SD,6,6,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:00,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,USER_IF_WL_SD,6,6,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,USER_IF_WL_SD,6,6,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,1,1,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
r48u_20260914_DYNG_IF_round_shadow_fix1,DYNG,IF,round_shadow,2024-07-17T00:23:30,USER_IF_WL_SD,5,5,3,0,0,0,0.99,ROUND,0,0,0,1e-06,NON_LAMBDA_MODE
